EmployeeID,OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductID,UnitPrice,Quantity,Discount
9,10255,RICSU,7/12/1996,8/9/1996,7/15/1996,3,$148.33 ,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,36,$15.20 ,25,0
9,10255,RICSU,7/12/1996,8/9/1996,7/15/1996,3,$148.33 ,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,59,$44.00 ,30,0
9,10255,RICSU,7/12/1996,8/9/1996,7/15/1996,3,$148.33 ,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,2,$15.20 ,20,0
9,10255,RICSU,7/12/1996,8/9/1996,7/15/1996,3,$148.33 ,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,16,$13.90 ,35,0
3,10256,WELLI,7/15/1996,8/12/1996,7/17/1996,2,$13.97 ,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,53,$26.20 ,15,0
3,10256,WELLI,7/15/1996,8/12/1996,7/17/1996,2,$13.97 ,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,77,$10.40 ,12,0
4,10257,HILAA,7/16/1996,8/13/1996,7/22/1996,3,$81.91 ,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,27,$35.10 ,25,0
4,10257,HILAA,7/16/1996,8/13/1996,7/22/1996,3,$81.91 ,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,39,$14.40 ,6,0
4,10257,HILAA,7/16/1996,8/13/1996,7/22/1996,3,$81.91 ,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,77,$10.40 ,15,0
1,10258,ERNSH,7/17/1996,8/14/1996,7/23/1996,1,$140.51 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,5,$17.00 ,65,0.200000003
1,10258,ERNSH,7/17/1996,8/14/1996,7/23/1996,1,$140.51 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2,$15.20 ,50,0.200000003
1,10258,ERNSH,7/17/1996,8/14/1996,7/23/1996,1,$140.51 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,32,$25.60 ,6,0.200000003
4,10259,CENTC,7/18/1996,8/15/1996,7/25/1996,3,$3.25 ,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,37,$20.80 ,1,0
4,10259,CENTC,7/18/1996,8/15/1996,7/25/1996,3,$3.25 ,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,21,$8.00 ,10,0
4,10260,OTTIK,7/19/1996,8/16/1996,7/29/1996,1,$55.09 ,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,41,$7.70 ,16,0.25
4,10260,OTTIK,7/19/1996,8/16/1996,7/29/1996,1,$55.09 ,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,57,$15.60 ,50,0
4,10260,OTTIK,7/19/1996,8/16/1996,7/29/1996,1,$55.09 ,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,62,$39.40 ,15,0.25
4,10260,OTTIK,7/19/1996,8/16/1996,7/29/1996,1,$55.09 ,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,70,$12.00 ,21,0.25
4,10261,QUEDE,7/19/1996,8/16/1996,7/30/1996,2,$3.05 ,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,21,$8.00 ,20,0
4,10261,QUEDE,7/19/1996,8/16/1996,7/30/1996,2,$3.05 ,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,35,$14.40 ,20,0
8,10262,RATTC,7/22/1996,8/19/1996,7/25/1996,3,$48.29 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,56,$30.40 ,2,0
8,10262,RATTC,7/22/1996,8/19/1996,7/25/1996,3,$48.29 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,7,$24.00 ,15,0
8,10262,RATTC,7/22/1996,8/19/1996,7/25/1996,3,$48.29 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,5,$17.00 ,12,0.200000003
9,10263,ERNSH,7/23/1996,8/20/1996,7/31/1996,3,$146.06 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,16,$13.90 ,60,0.25
9,10263,ERNSH,7/23/1996,8/20/1996,7/31/1996,3,$146.06 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,24,$3.60 ,28,0
9,10263,ERNSH,7/23/1996,8/20/1996,7/31/1996,3,$146.06 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,30,$20.70 ,60,0.25
9,10263,ERNSH,7/23/1996,8/20/1996,7/31/1996,3,$146.06 ,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,74,$8.00 ,36,0.25
6,10264,FOLKO,7/24/1996,8/21/1996,8/23/1996,3,$3.67 ,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,2,$15.20 ,35,0
6,10264,FOLKO,7/24/1996,8/21/1996,8/23/1996,3,$3.67 ,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,41,$7.70 ,25,0.150000006
2,10265,BLONP,7/25/1996,8/22/1996,8/12/1996,1,$55.28 ,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,70,$12.00 ,20,0
2,10265,BLONP,7/25/1996,8/22/1996,8/12/1996,1,$55.28 ,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,17,$31.20 ,30,0
3,10266,WARTH,7/26/1996,9/6/1996,7/31/1996,3,$25.73 ,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,12,$30.40 ,12,0.050000001
4,10267,FRANK,7/29/1996,8/26/1996,8/6/1996,1,$208.58 ,Frankenversand,Berliner Platz 43,München,,80805,Germany,40,$14.70 ,50,0
4,10267,FRANK,7/29/1996,8/26/1996,8/6/1996,1,$208.58 ,Frankenversand,Berliner Platz 43,München,,80805,Germany,59,$44.00 ,70,0.150000006
4,10267,FRANK,7/29/1996,8/26/1996,8/6/1996,1,$208.58 ,Frankenversand,Berliner Platz 43,München,,80805,Germany,76,$14.40 ,15,0.150000006
8,10268,GROSR,7/30/1996,8/27/1996,8/2/1996,3,$66.29 ,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,29,$99.00 ,10,0
8,10268,GROSR,7/30/1996,8/27/1996,8/2/1996,3,$66.29 ,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,72,$27.80 ,4,0
5,10269,WHITC,7/31/1996,8/14/1996,8/9/1996,1,$4.56 ,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,72,$27.80 ,20,0.050000001
5,10269,WHITC,7/31/1996,8/14/1996,8/9/1996,1,$4.56 ,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,33,$2.00 ,60,0.050000001
1,10270,WARTH,8/1/1996,8/29/1996,8/2/1996,1,$136.54 ,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,36,$15.20 ,30,0
1,10270,WARTH,8/1/1996,8/29/1996,8/2/1996,1,$136.54 ,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,43,$36.80 ,25,0
6,10271,SPLIR,8/1/1996,8/29/1996,8/30/1996,2,$4.54 ,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,33,$2.00 ,24,0
6,10272,RATTC,8/2/1996,8/30/1996,8/6/1996,2,$98.03 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,20,$64.80 ,6,0
6,10272,RATTC,8/2/1996,8/30/1996,8/6/1996,2,$98.03 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,31,$10.00 ,40,0
6,10272,RATTC,8/2/1996,8/30/1996,8/6/1996,2,$98.03 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,72,$27.80 ,24,0
3,10273,QUICK,8/5/1996,9/2/1996,8/12/1996,3,$76.07 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,76,$14.40 ,33,0.050000001
3,10273,QUICK,8/5/1996,9/2/1996,8/12/1996,3,$76.07 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,40,$14.70 ,60,0.050000001
3,10273,QUICK,8/5/1996,9/2/1996,8/12/1996,3,$76.07 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,31,$10.00 ,15,0.050000001
3,10273,QUICK,8/5/1996,9/2/1996,8/12/1996,3,$76.07 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,33,$2.00 ,20,0
3,10273,QUICK,8/5/1996,9/2/1996,8/12/1996,3,$76.07 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,10,$24.80 ,24,0.050000001
6,10274,VINET,8/6/1996,9/3/1996,8/16/1996,1,$6.01 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,71,$17.20 ,20,0
6,10274,VINET,8/6/1996,9/3/1996,8/16/1996,1,$6.01 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,72,$27.80 ,7,0
1,10275,MAGAA,8/7/1996,9/4/1996,8/9/1996,1,$26.93 ,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,24,$3.60 ,12,0.050000001
1,10275,MAGAA,8/7/1996,9/4/1996,8/9/1996,1,$26.93 ,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,59,$44.00 ,6,0.050000001
8,10276,TORTU,8/8/1996,8/22/1996,8/14/1996,3,$13.84 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,13,$4.80 ,10,0
8,10276,TORTU,8/8/1996,8/22/1996,8/14/1996,3,$13.84 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,10,$24.80 ,15,0
2,10277,MORGK,8/9/1996,9/6/1996,8/13/1996,3,$125.77 ,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,28,$36.40 ,20,0
2,10277,MORGK,8/9/1996,9/6/1996,8/13/1996,3,$125.77 ,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,62,$39.40 ,12,0
8,10278,BERGS,8/12/1996,9/9/1996,8/16/1996,2,$92.69 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,44,$15.50 ,16,0
8,10278,BERGS,8/12/1996,9/9/1996,8/16/1996,2,$92.69 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,59,$44.00 ,15,0
8,10278,BERGS,8/12/1996,9/9/1996,8/16/1996,2,$92.69 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,63,$35.10 ,8,0
8,10278,BERGS,8/12/1996,9/9/1996,8/16/1996,2,$92.69 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,73,$12.00 ,25,0
8,10279,LEHMS,8/13/1996,9/10/1996,8/16/1996,2,$25.83 ,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,17,$31.20 ,15,0.25
2,10280,BERGS,8/14/1996,9/11/1996,9/12/1996,1,$8.98 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,75,$6.20 ,30,0
2,10280,BERGS,8/14/1996,9/11/1996,9/12/1996,1,$8.98 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,24,$3.60 ,12,0
2,10280,BERGS,8/14/1996,9/11/1996,9/12/1996,1,$8.98 ,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,55,$19.20 ,20,0
4,10281,ROMEY,8/14/1996,8/28/1996,8/21/1996,1,$2.94 ,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,19,$7.30 ,1,0
4,10281,ROMEY,8/14/1996,8/28/1996,8/21/1996,1,$2.94 ,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,24,$3.60 ,6,0
4,10281,ROMEY,8/14/1996,8/28/1996,8/21/1996,1,$2.94 ,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,35,$14.40 ,4,0
4,10282,ROMEY,8/15/1996,9/12/1996,8/21/1996,1,$12.69 ,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,30,$20.70 ,6,0
4,10282,ROMEY,8/15/1996,9/12/1996,8/21/1996,1,$12.69 ,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,57,$15.60 ,2,0
3,10283,LILAS,8/16/1996,9/13/1996,8/23/1996,3,$84.81 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,19,$7.30 ,18,0
3,10283,LILAS,8/16/1996,9/13/1996,8/23/1996,3,$84.81 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,15,$12.40 ,20,0
3,10283,LILAS,8/16/1996,9/13/1996,8/23/1996,3,$84.81 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,60,$27.20 ,35,0
3,10283,LILAS,8/16/1996,9/13/1996,8/23/1996,3,$84.81 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,72,$27.80 ,3,0
4,10284,LEHMS,8/19/1996,9/16/1996,8/27/1996,1,$76.56 ,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,60,$27.20 ,20,0.25
4,10284,LEHMS,8/19/1996,9/16/1996,8/27/1996,1,$76.56 ,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,67,$11.20 ,5,0.25
4,10284,LEHMS,8/19/1996,9/16/1996,8/27/1996,1,$76.56 ,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,27,$35.10 ,15,0.25
4,10284,LEHMS,8/19/1996,9/16/1996,8/27/1996,1,$76.56 ,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,44,$15.50 ,21,0
1,10285,QUICK,8/20/1996,9/17/1996,8/26/1996,2,$76.83 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,53,$26.20 ,36,0.200000003
1,10285,QUICK,8/20/1996,9/17/1996,8/26/1996,2,$76.83 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,40,$14.70 ,40,0.200000003
1,10285,QUICK,8/20/1996,9/17/1996,8/26/1996,2,$76.83 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,1,$14.40 ,45,0.200000003
8,10286,QUICK,8/21/1996,9/18/1996,8/30/1996,3,$229.24 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,35,$14.40 ,100,0
8,10286,QUICK,8/21/1996,9/18/1996,8/30/1996,3,$229.24 ,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,62,$39.40 ,40,0
8,10287,RICAR,8/22/1996,9/19/1996,8/28/1996,3,$12.76 ,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,16,$13.90 ,40,0.150000006
8,10287,RICAR,8/22/1996,9/19/1996,8/28/1996,3,$12.76 ,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,34,$11.20 ,20,0
8,10287,RICAR,8/22/1996,9/19/1996,8/28/1996,3,$12.76 ,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,46,$9.60 ,15,0.150000006
4,10288,REGGC,8/23/1996,9/20/1996,9/3/1996,1,$7.45 ,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy,68,$10.00 ,3,0.100000001
4,10288,REGGC,8/23/1996,9/20/1996,9/3/1996,1,$7.45 ,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy,54,$5.90 ,10,0.100000001
7,10289,BSBEV,8/26/1996,9/23/1996,8/28/1996,3,$22.77 ,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,3,$8.00 ,30,0
7,10289,BSBEV,8/26/1996,9/23/1996,8/28/1996,3,$22.77 ,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,64,$26.60 ,9,0
8,10290,COMMI,8/27/1996,9/24/1996,9/3/1996,1,$79.70 ,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,5,$17.00 ,20,0
8,10290,COMMI,8/27/1996,9/24/1996,9/3/1996,1,$79.70 ,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,29,$99.00 ,15,0
8,10290,COMMI,8/27/1996,9/24/1996,9/3/1996,1,$79.70 ,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,49,$16.00 ,15,0
8,10290,COMMI,8/27/1996,9/24/1996,9/3/1996,1,$79.70 ,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,77,$10.40 ,10,0
6,10291,QUEDE,8/27/1996,9/24/1996,9/4/1996,2,$6.40 ,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,51,$42.40 ,2,0.100000001
6,10291,QUEDE,8/27/1996,9/24/1996,9/4/1996,2,$6.40 ,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,13,$4.80 ,20,0.100000001
6,10291,QUEDE,8/27/1996,9/24/1996,9/4/1996,2,$6.40 ,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,44,$15.50 ,24,0.100000001
1,10292,TRADH,8/28/1996,9/25/1996,9/2/1996,2,$1.35 ,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,20,$64.80 ,20,0
1,10293,TORTU,8/29/1996,9/26/1996,9/11/1996,3,$21.18 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,18,$50.00 ,12,0
1,10293,TORTU,8/29/1996,9/26/1996,9/11/1996,3,$21.18 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,24,$3.60 ,10,0
1,10293,TORTU,8/29/1996,9/26/1996,9/11/1996,3,$21.18 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,63,$35.10 ,5,0
1,10293,TORTU,8/29/1996,9/26/1996,9/11/1996,3,$21.18 ,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,75,$6.20 ,6,0
4,10294,RATTC,8/30/1996,9/27/1996,9/5/1996,2,$147.26 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,60,$27.20 ,21,0
4,10294,RATTC,8/30/1996,9/27/1996,9/5/1996,2,$147.26 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,1,$14.40 ,18,0
4,10294,RATTC,8/30/1996,9/27/1996,9/5/1996,2,$147.26 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,17,$31.20 ,15,0
4,10294,RATTC,8/30/1996,9/27/1996,9/5/1996,2,$147.26 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,43,$36.80 ,15,0
4,10294,RATTC,8/30/1996,9/27/1996,9/5/1996,2,$147.26 ,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,75,$6.20 ,6,0
2,10295,VINET,9/2/1996,9/30/1996,9/10/1996,2,$1.15 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,56,$30.40 ,4,0
6,10296,LILAS,9/3/1996,10/1/1996,9/11/1996,1,$0.12 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,16,$13.90 ,30,0
6,10296,LILAS,9/3/1996,10/1/1996,9/11/1996,1,$0.12 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,69,$28.80 ,15,0
6,10296,LILAS,9/3/1996,10/1/1996,9/11/1996,1,$0.12 ,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,11,$16.80 ,12,0
5,10297,BLONP,9/4/1996,10/16/1996,9/10/1996,2,$5.74 ,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,72,$27.80 ,20,0
5,10297,BLONP,9/4/1996,10/16/1996,9/10/1996,2,$5.74 ,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,39,$14.40 ,60,0
6,10298,HUNGO,9/5/1996,10/3/1996,9/11/1996,2,$168.22 ,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,2,$15.20 ,40,0
6,10298,HUNGO,9/5/1996,10/3/1996,9/11/1996,2,$168.22 ,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,36,$15.20 ,40,0.25
6,10298,HUNGO,9/5/1996,10/3/1996,9/11/1996,2,$168.22 ,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,59,$44.00 ,30,0.25
6,10298,HUNGO,9/5/1996,10/3/1996,9/11/1996,2,$168.22 ,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,62,$39.40 ,15,0
4,10299,RICAR,9/6/1996,10/4/1996,9/13/1996,2,$29.76 ,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,19,$7.30 ,15,0
4,10299,RICAR,9/6/1996,10/4/1996,9/13/1996,2,$29.76 ,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,70,$12.00 ,20,0
2,10300,MAGAA,9/9/1996,10/7/1996,9/18/1996,2,$17.68 ,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,68,$10.00 ,20,0
2,10300,MAGAA,9/9/1996,10/7/1996,9/18/1996,2,$17.68 ,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,66,$13.60 ,30,0
8,10301,WANDK,9/9/1996,10/7/1996,9/17/1996,2,$45.08 ,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany,40,$14.70 ,10,0
8,10301,WANDK,9/9/1996,10/7/1996,9/17/1996,2,$45.08 ,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany,56,$30.40 ,20,0
4,10302,SUPRD,9/10/1996,10/8/1996,10/9/1996,2,$6.27 ,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,17,$31.20 ,40,0
4,10302,SUPRD,9/10/1996,10/8/1996,10/9/1996,2,$6.27 ,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,28,$36.40 ,28,0
